番号,名称,別名,地域,建築年,天守閣,緯度,経度,開始,終了,予備1,予備2,予備3
1000,京都リサーチパーク,KRP,京都府,1987年設立,不明,34.994824,135.739601,1987,9999,,,
1,根室半島チャシ跡群,,北海道,16世紀から18世紀,,43.283579,145.507693,1501,2999,,,
2,五稜郭,,北海道,1866年,無し,41.796729,140.75695,1866,2999,,,
3,松前城,福山城,北海道,1849年,1949年焼失。復元天守閣（1959年）コンクリート,41.429888,140.10811,1849,2999,,,
4,弘前城,鷹岡城、高岡城,青森県,1611年,現存,40.608036,140.46381,1611,2999,,,
5,根城,,青森県,1334年,,40.506342,141.45961,1334,2999,,,
6,盛岡城,不来方城,岩手県,1598年,廃城令により解体,39.699959,141.15017,1598,2999,,,
7,久保田城,矢留城、葛根城、秋田城,秋田県,1604年,無し,39.721585,140.12462,1604,2999,,,
8,仙台城,青葉城,宮城県,1601年,無し,38.252389,140.85563,1601,2999,,,
9,多賀城,,宮城県,律令時代,,38.30369,140.99158,724,2999,,,
10,山形城,霞城,山形県,1356年,無し,38.253536,140.3291,1356,2999,,,
11,二本松城,霞ヶ城、白旗城,福島県,室町時代中期,不明,37.599829,140.4278,1414,2999,,,
12,会津若松城,鶴ヶ城、会津若松城、黒川城,福島県,1384年,廃城令により解体。復元天守閣（1965年）コンクリート,37.487489,139.93017,1384,2999,,,
13,白河小峰城,白河城、小峰城,福島県,1340年,戊辰戦争で消失。復元天守閣（1991年）木造,37.13273,140.21376,1340,2999,,,
14,水戸城,馬場城、水府城,茨城県,1190年 ? 1198年,無し,36.37515,140.47894,1190,2999,,,
15,足利氏館（鑁阿寺）,,栃木県,1196年,,36.337708,139.45167,1196,2999,,,
16,箕輪城,,群馬県,1512年,無し,36.404948,138.95096,1512,2999,,,
17,新田金山城,太田金山城、金山城,群馬県,1469年,無し,36.3178,139.37748,1469,2999,,,
18,鉢形城,,埼玉県,1476年,無し,36.110131,139.19674,1476,2999,,,
19,川越城,河越城、初雁城、霧隠城,埼玉県,1457年,無し,35.924383,139.4915,1457,2999,,,
20,佐倉城,鹿島城,千葉県,天文年間,無し,35.721989,140.21672,1532,2999,,,
21,江戸城,千代田城,東京都,1457年,1863年の火災で焼失したまま再建されず,35.688325,139.75437,1457,2999,,,
22,八王子城,,東京都,1587年頃,無し,35.65314,139.25307,1587,2999,,,
23,小田原城,小峯城（小峰城）、小早川城（小早川館）,静岡県,1417年,廃城令により解体。復興天守閣（1960年）コンクリート,35.251047,139.15344,1417,2999,,,
24,新発田城,菖蒲城,新潟県,不明,廃城令により破却。復元天守閣（2004年）木造,37.955586,139.32529,1336,2999,,,
25,春日山城,蜂ヶ峰城,新潟県,不明,無し,37.146689,138.20555,1336,2999,,,
26,甲府城,舞鶴城、一条小山城,山梨県,1583年,1873年の廃城時に破壊,35.665289,138.57134,1583,2999,,,
27,躑躅ヶ崎館,武田氏館,山梨県,1519年,無し,35.686864,138.57746,1519,2999,,,
28,松代城,海津城、貝津城,長野県,1560年,無し,36.566108,138.19601,1560,2999,,,
29,上田城,尼ヶ淵城 真田城,長野県,1583年,無し,36.403922,138.24479,1583,2999,,,
30,小諸城,酔月城 穴城 白鶴城,長野県,不明,無し,36.327336,138.41725,1487,2999,,,
31,松本城,烏城,長野県,1593年?1594年,現存,36.238889,137.96917,1593,2999,,,
32,高遠城,兜山城,長野県,不明,無し,35.833078,138.0628,1545,2999,,,
33,高岡城,,富山県,1609年,不明,36.749347,137.02081,1609,2999,,,
34,七尾城,松尾城、末尾城,石川県,1428年?1429年,無し,37.009036,136.98392,1428,2999,,,
35,金沢城,尾山城,石川県,1580年,不明,36.564317,136.65923,1580,2999,,,
36,丸岡城,霞ヶ城,福井県,1576年,現存,36.152228,136.27192,1576,2999,,,
37,一乗谷城,,福井県,南北朝時代,無し,35.999492,136.29556,1336,2999,,,
38,岩村城,霧ヶ城,岐阜県,1185年、または1195年,無し,35.359931,137.45102,1185,2999,,,
39,岐阜城,稲葉山城,岐阜県,1201年,不明。復興天守閣（1956年）コンクリート,35.434072,136.78221,1201,2999,,,
40,山中城,,静岡県,1558年?1570年,無し,35.156397,138.99242,1558,2999,,,
41,駿府城,府中城、静岡城,静岡県,1585年,天守は現存していない,34.979235,138.38325,1585,2999,,,
42,掛川城,懸河城、雲霧城、松尾城,静岡県,1469年-1487年,1854年嘉永東海地震で倒壊。復元天守閣（1994年）木造,34.775417,138.01473,1469,2999,,,
43,犬山城,白帝城,愛知県,1469年,現存,35.388332,136.93924,1469,2999,,,
44,名古屋城,金鯱城、金城,愛知県,1609年,1945年の空襲で火災で消失。復元天守閣（1957年）コンクリート,35.185492,136.89909,1609,2999,,,
45,岡崎城,龍城,愛知県,1452年,廃城令により解体。復興天守閣（1959年）コンクリート,34.956308,137.15881,1452,2999,,,
46,長篠城,末広城、扇城,愛知県,1508年,無し,34.922817,137.55985,1508,2999,,,
47,伊賀上野城,白鳳城、上野城,三重県,1585年,廃城令により解体。復興天守閣（1935年）木造,34.770142,136.12714,1585,2999,,,
48,松坂城,松阪城,三重県,1588年,1644年天守が風のため倒壊,34.575998,136.52564,1588,2999,,,
49,小谷城,,滋賀県,1516年,彦根城西の丸の三重櫓,35.457782,136.27553,1516,2999,,,
50,彦根城,金亀城,滋賀県,1622年,現存,35.276386,136.25167,1622,2999,,,
51,安土城,,滋賀県,1576年,山崎の戦いの後まもなくして焼失,35.155914,136.13941,1576,2999,,,
52,観音寺城,,滋賀県,南北朝時代,無し,35.145444,136.16293,1336,2999,,,
53,二条城,,京都府,1603年,1750年に焼失して以来、再建されていない,35.014156,135.7475,1603,2999,,,
54,大坂城,大阪城、金城、錦城,大阪府,1583年,大坂夏の陣で落城焼失。1665年に落雷によって天守を焼失。復興天守閣（1931年）コンクリート,34.687378,135.52584,1583,2999,,,
55,千早城,,大阪府,1332年,無し,34.417225,135.6512,1332,2999,,,
56,竹田城,天空の城、虎臥城,兵庫県,1431年,無し,35.300031,134.82975,1431,2999,,,
57,篠山城,桐ヶ城,兵庫県,1609年,建設されず,35.072822,135.21825,1609,2999,,,
58,明石城,喜春城、錦江城,兵庫県,1619年,無し,34.652797,134.9918,1619,2999,,,
59,姫路城,白鷺城,兵庫県,1346年,現存,34.839372,134.69413,1346,2999,,,
60,赤穂城,加里屋城、大鷹城,兵庫県,1466年?1483年,建設されず,34.745669,134.38898,1466,2999,,,
61,高取城,芙蓉城、鷹取城,奈良県,1332年,廃城令で放置され自然崩壊,34.429442,135.82683,1332,2999,,,
62,和歌山城,虎伏城、竹垣城,和歌山県,1585年,1945年和歌山大空襲により焼失。復元天守閣（1958年）コンクリート,34.227658,135.17168,1585,2999,,,
63,鳥取城,久松城,鳥取県,1532年?1555年,廃城令の影響で1877年より1879年にかけて破却,35.507429,134.23997,1532,2999,,,
64,松江城,千鳥城,島根県,1611年,現存,35.474952,133.05062,1611,2999,,,
65,月山富田城,月山城、富田月山城,島根県,1185年頃,無し,35.360931,133.18522,1185,2999,,,
66,津和野城,三本松城、石蕗城,島根県,1295年,1686年落雷にあい火災で焼失,34.461116,131.76383,1295,2999,,,
67,津山城,鶴山城,岡山県,1441年?1444年,廃城令により破却,35.062842,134.00515,1441,2999,,,
68,備中松山城,高梁城,岡山県,1240年,現存,34.808781,133.62225,1240,2999,,,
69,鬼ノ城,,岡山県,7世紀後半,,34.726536,133.76291,663,2999,,,
70,岡山城,鳥城、金鳥城,岡山県,1346年?1369年,1945年岡山大空襲で焼失。復元天守閣（1964年?1966年）コンクリート,34.665199,133.93609,1346,2999,,,
71,福山城,久松城、葦陽城,広島県,1622年,1945年福山大空襲により焼失。復興天守閣（1966年）コンクリート,34.491033,133.36115,1622,2999,,,
72,郡山城,吉田郡山城,広島県,1336年,無し,34.674302,132.70965,1336,2999,,,
73,広島城,鯉城,広島県,1589年,1945年　原子爆弾によって全焼。復元天守閣（1958年）コンクリート,34.402839,132.45896,1589,2999,,,
74,岩国城,横山城,山口県,1601年,1615年幕府の一国一城令により廃城。復興天守閣（1962年）コンクリート,34.174966,132.1737,1601,2999,,,
75,萩城,指月城,山口県,1590年,廃城令により破却,34.417842,131.38344,1590,2999,,,
76,徳島城,渭山城、渭津城,徳島県,1585年,江戸中期に焼亡,34.075192,134.55527,1585,2999,,,
77,高松城,玉藻城,香川県,1590年,1884年老朽化のため破却。復元天守閣2010年の着工を目指している,34.350419,134.05161,1590,2999,,,
78,丸亀城,亀山城、蓬莱城,香川県,室町初期,現存,34.286347,133.80059,1597,2999,,,
79,今治城,吹上城、吹揚城,愛媛県,1602年,模擬天守閣（1980年）コンクリート,34.063336,133.00681,1602,2999,,,
80,松山城,金亀城、勝山城,愛媛県,1602年,現存,33.845627,132.76555,1602,2999,,,
81,湯築城,,愛媛県,14世紀前半,,33.848108,132.78674,1301,2999,,,
82,大洲城,比志城、地蔵ヶ嶽城、大津城。　,愛媛県,1331年,老朽化と構造上の欠陥の為1888年に解体。復元天守閣(2004年）木造,33.509539,132.54113,1331,2999,,,
83,宇和島城,鶴島城、丸串城,愛媛県,941年,現存,33.2196,132.56437,941,2999,,,
84,高知城,大高坂山城、河中山城,高知県,1603年,現存,33.56081,133.53147,1603,2999,,,
85,福岡城,舞鶴城、石城,福岡県,1601年,不明,33.584381,130.3831,1601,2999,,,
86,大野城,,福岡県,飛鳥時代,,33.538965,130.50209,593,2999,,,
87,名護屋城,名護屋御旅館,佐賀県,1591年,非現存,33.530033,129.86937,1591,2999,,,
88,吉野ヶ里遺跡,,佐賀県,弥生時代,,33.32362,130.3907,-400,2999,,,
